IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label,Attack
204.101.207.58,50188,172.31.66.97,3389,6,0.0,1476,8,1869,7,30,30,26,0,0,0,104,104,1213,40,40,1213,1476.0,1869.0,0,0,0,0,11808000,14952000,10,2,1,1,1,64240,64000,0,0,0,0,0,0,0,Benign
212.92.124.11,29509,172.31.67.20,3389,6,0.0,1460,8,1873,7,222,222,90,0,0,0,102,102,1213,40,40,1213,1460.0,1873.0,0,0,0,0,11680000,14984000,10,2,1,1,1,8192,64000,0,0,0,0,0,0,0,Benign
52.14.136.135,62040,172.31.69.28,80,6,7.178,527,5,1147,5,219,219,27,4294814,152,152,127,127,975,40,40,975,527.0,1147.0,0,0,0,0,24000,56000,8,0,1,1,0,65535,26883,0,0,0,0,0,0,1,DDOS attack-HOIC
172.31.67.80,58997,172.31.0.2,53,17,5.126,60,1,156,1,0,0,0,0,0,0,128,128,156,60,60,156,120.0,312.0,0,0,0,0,960000,1872000,2,2,0,0,0,0,0,0,0,29073,1,60,0,0,Benign
18.216.200.189,62941,172.31.69.25,80,6,7.0,232,5,1136,4,223,222,27,4294951,16,0,127,127,1004,40,40,1004,232.0,1136.0,0,0,0,0,104000,9088000,8,0,0,1,0,8192,26883,0,0,0,0,0,0,1,DDoS attacks-LOIC-HTTP
213.202.230.37,17258,172.31.66.103,3389,6,0.0,1879,13,1991,10,223,219,30,0,0,0,100,100,1195,40,40,1195,1879.0,1991.0,0,0,0,0,15032000,15928000,15,6,0,1,1,8192,64000,0,0,0,0,0,0,0,Benign
172.31.67.81,54791,172.31.0.2,53,17,0.0,69,1,148,1,0,0,0,0,0,0,0,0,148,69,69,148,69.0,148.0,0,0,0,0,552000,1184000,1,1,0,0,0,0,0,0,0,53111,1,60,0,0,Benign
193.111.198.66,17084,172.31.66.26,3389,6,0.0,3876,27,1528,18,223,219,94,4294951,0,16,101,101,720,40,40,720,3876.0,1528.0,0,0,0,0,31008000,712000,37,2,4,2,0,8192,64000,0,0,0,0,0,0,0,Benign
172.31.66.44,62887,172.31.0.2,53,17,0.0,70,1,86,1,0,0,0,0,0,0,0,0,86,70,70,86,70.0,86.0,0,0,0,0,560000,688000,2,0,0,0,0,0,0,0,0,58843,1,7,0,0,Benign
172.31.67.9,63182,172.31.0.2,53,17,5.126,71,1,87,1,0,0,0,0,0,0,0,0,87,71,71,87,71.0,87.0,0,0,0,0,568000,696000,2,0,0,0,0,0,0,0,0,8052,1,60,0,0,Benign
172.31.64.116,54674,172.31.0.2,53,17,0.0,64,1,192,1,0,0,0,0,0,0,0,0,192,64,64,192,64.0,192.0,0,0,0,0,512000,1536000,1,1,0,0,0,0,0,0,0,30296,1,27,0,0,Benign
172.31.64.15,62387,172.31.0.2,53,17,0.0,75,1,160,1,0,0,0,0,0,0,0,0,160,75,75,160,75.0,160.0,0,0,0,0,600000,1280000,1,1,0,0,0,0,0,0,0,47821,28,60,0,0,Benign
18.219.193.20,41918,172.31.69.25,80,6,7.0,2869,22,4812,20,27,27,27,4294764,203,203,63,63,987,52,52,987,2869.0,4812.0,431,1,0,0,112000,184000,33,0,5,4,0,26883,26847,44800,175,0,0,0,0,1,DoS attacks-Hulk
172.31.67.94,58121,172.31.0.2,53,17,5.178,111,1,193,1,0,0,0,0,0,0,128,128,193,111,111,193,222.0,193.0,0,0,0,0,1776000,1544000,2,1,0,0,0,0,0,0,0,11208,28,43,0,0,Benign
172.31.67.58,50064,172.31.0.2,53,17,0.0,54,1,136,1,0,0,0,0,0,0,0,0,136,54,54,136,54.0,136.0,0,0,0,0,432000,1088000,1,1,0,0,0,0,0,0,0,32263,28,60,0,0,Benign
172.31.67.66,61161,172.31.0.2,53,17,5.126,71,1,99,1,0,0,0,0,0,0,0,0,99,71,71,99,71.0,99.0,0,0,0,0,568000,792000,2,0,0,0,0,0,0,0,0,33823,28,60,0,0,Benign
172.31.65.50,51215,172.31.0.2,53,17,0.0,118,2,182,2,0,0,0,0,0,0,128,128,91,59,59,91,118.0,182.0,0,0,0,0,944000,1456000,4,0,0,0,0,0,0,0,0,18475,1,60,0,0,Benign
172.31.65.6,51703,216.58.218.234,443,6,91.239,1366,17,4300,14,27,27,27,0,0,0,128,128,1470,40,40,1470,1366.0,4300.0,0,0,0,0,10928000,34400000,24,3,2,0,2,8192,42780,0,0,0,0,0,0,0,Benign
18.218.229.235,58619,172.31.69.25,80,6,7.0,232,5,1136,4,223,222,27,4294951,16,0,127,127,1004,40,40,1004,232.0,1136.0,0,0,0,0,104000,9088000,8,0,0,1,0,8192,26883,0,0,0,0,0,0,1,DDoS attacks-LOIC-HTTP
172.31.68.10,50863,209.85.203.157,443,6,91.126,934,10,3289,9,223,223,27,4294952,15,15,128,128,1470,40,40,1470,934.0,3289.0,0,0,0,0,464000,1640000,13,3,1,0,2,8192,42780,0,0,0,0,0,0,0,Benign
172.31.67.123,58803,172.31.0.2,53,17,0.0,62,1,94,1,0,0,0,0,0,0,0,0,94,62,62,94,62.0,94.0,0,0,0,0,496000,752000,2,0,0,0,0,0,0,0,0,42124,1,60,0,0,Benign
172.31.64.32,51512,169.254.169.254,80,6,7.0,373,5,700,5,27,27,27,0,0,0,128,128,528,40,40,528,373.0,700.0,0,0,0,0,2984000,5600000,8,1,0,1,0,8192,17922,0,0,0,0,0,0,0,Benign
5.188.11.188,54193,172.31.65.73,3607,6,0.0,40,1,0,0,2,2,0,0,0,0,0,0,40,40,0,40,40.0,0.0,0,0,0,0,320000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
172.31.64.81,56292,172.31.0.2,53,17,0.0,130,2,236,2,0,0,0,0,0,0,128,128,118,65,65,118,130.0,236.0,0,0,0,0,1040000,1888000,4,0,0,0,0,0,0,0,0,53276,1,60,0,0,Benign
172.31.65.82,60227,172.31.0.2,53,17,0.0,62,1,92,1,0,0,0,0,0,0,0,0,92,62,62,92,62.0,92.0,0,0,0,0,496000,736000,2,0,0,0,0,0,0,0,0,8562,1,60,0,0,Benign
172.31.69.26,50919,172.31.0.2,53,17,5.126,66,1,162,1,0,0,0,0,0,0,128,128,162,66,66,162,132.0,162.0,0,0,0,0,1056000,1296000,2,1,0,0,0,0,0,0,0,17619,1,59,0,0,Benign
172.31.66.99,52308,172.217.7.230,443,6,91.126,2237,31,67190,57,27,27,27,0,0,0,128,128,1470,40,40,1470,2237.0,67190.0,0,0,0,0,17896000,537520000,37,3,3,0,45,8192,42780,0,0,0,0,0,0,0,Benign
172.31.66.35,54392,172.31.0.2,53,17,0.0,70,1,183,1,0,0,0,0,0,0,0,0,183,70,70,183,70.0,183.0,0,0,0,0,560000,1464000,1,1,0,0,0,0,0,0,0,37929,1,29,0,0,Benign
201.186.78.76,2699,172.31.64.60,445,6,41.0,132,3,132,3,23,19,22,0,0,0,41,41,52,40,40,52,132.0,132.0,0,0,0,0,1056000,1056000,6,0,0,0,0,8192,8192,0,0,0,0,0,0,0,Benign
172.31.67.29,50876,172.31.0.2,53,17,0.0,59,1,91,1,0,0,0,0,0,0,0,0,91,59,59,91,59.0,91.0,0,0,0,0,472000,728000,2,0,0,0,0,0,0,0,0,25453,1,5,0,0,Benign
172.31.66.48,52066,23.218.38.23,443,6,0.0,891,7,475,7,223,223,27,0,0,0,128,128,557,40,40,557,891.0,475.0,0,0,0,0,7128000,3800000,12,1,0,1,0,8192,29200,0,0,0,0,0,0,0,Benign
192.241.222.147,58372,172.31.66.20,445,6,0.0,585,5,344,4,30,26,30,0,0,0,103,103,180,40,40,180,585.0,344.0,0,0,0,0,4680000,2752000,5,4,0,0,0,16660,8192,0,0,0,0,0,0,0,Benign
93.183.216.136,61909,172.31.65.88,3389,6,0.0,1476,8,1873,7,30,30,26,0,0,0,98,98,1213,40,40,1213,1476.0,1873.0,0,0,0,0,11808000,14984000,10,2,1,1,1,8192,64000,0,0,0,0,0,0,0,Benign
18.218.11.51,57484,172.31.69.25,80,6,7.0,232,5,1136,4,223,222,27,4294905,62,0,127,127,1004,40,40,1004,19240.0,1136.0,0,0,0,0,1536000,9088000,8,0,0,1,0,8192,26883,0,0,0,0,0,0,1,DDoS attacks-LOIC-HTTP
172.31.65.75,57284,172.31.0.2,53,17,5.126,79,1,107,1,0,0,0,0,0,0,0,0,107,79,79,107,79.0,107.0,0,0,0,0,632000,856000,2,0,0,0,0,0,0,0,0,62305,28,48,0,0,Benign
172.31.65.75,53245,172.31.0.2,53,17,0.0,61,1,113,1,0,0,0,0,0,0,0,0,113,61,61,113,61.0,113.0,0,0,0,0,488000,904000,2,0,0,0,0,0,0,0,0,7774,28,60,0,0,Benign
172.31.67.124,55868,172.31.0.2,53,17,0.0,67,1,195,1,0,0,0,0,0,0,128,128,195,67,67,195,134.0,390.0,0,0,0,0,1072000,2336000,2,2,0,0,0,0,0,0,0,46263,1,49,0,0,Benign
172.31.67.59,51099,172.31.0.2,53,17,5.126,79,1,107,1,0,0,0,0,0,0,0,0,107,79,79,107,79.0,107.0,0,0,0,0,632000,856000,2,0,0,0,0,0,0,0,0,44357,28,60,0,0,Benign
207.74.3.44,65286,172.31.65.68,139,6,10.0,88,2,48,1,22,6,18,0,0,0,100,100,48,40,40,48,88.0,48.0,0,0,0,0,704000,384000,3,0,0,0,0,16384,8192,0,0,0,0,0,0,0,Benign
172.31.66.38,62259,172.31.0.2,53,17,5.119,73,1,101,1,0,0,0,0,0,0,0,0,101,73,73,101,73.0,101.0,0,0,0,0,584000,808000,2,0,0,0,0,0,0,0,0,53080,28,37,0,0,Benign
172.31.66.16,51332,172.31.0.2,53,17,0.0,71,1,87,1,0,0,0,0,0,0,0,0,87,71,71,87,71.0,87.0,0,0,0,0,568000,696000,2,0,0,0,0,0,0,0,0,22086,1,20,0,0,Benign
172.31.64.60,49566,172.31.0.2,53,17,0.0,66,1,82,1,0,0,0,0,0,0,0,0,82,66,66,82,66.0,82.0,0,0,0,0,528000,656000,2,0,0,0,0,0,0,0,0,21883,1,60,0,0,Benign
